Chromosome/scaffold name	Gene stable ID	Transcript stable ID	Transcript start (bp)	Transcript end (bp)	RefSeq mRNA ID	RefSeq mRNA predicted ID	RefSeq ncRNA ID	Transcript length (including UTRs and CDS)	RefSeq match transcript (MANE Select)	RefSeq match transcript (MANE Plus Clinical)
1	ENSG00000177000	ENST00000376592	11785723	11805413				8378
1	ENSG00000177000	ENST00000376590	11785723	11805964	NM_005957	XM_054336702		7018	NM_005957.5
1	ENSG00000177000	ENST00000376590	11785723	11805964	NM_005957	XM_054336707		7018	NM_005957.5
1	ENSG00000177000	ENST00000376590	11785723	11805964	NM_005957	XM_005263462		7018	NM_005957.5
1	ENSG00000177000	ENST00000376590	11785723	11805964	NM_005957	XM_047421178		7018	NM_005957.5
1	ENSG00000177000	ENST00000376590	11785723	11805964	NM_005957	XM_005263463		7018	NM_005957.5
1	ENSG00000177000	ENST00000376583	11785730	11803514	NM_001330358	XM_017001328		7044
1	ENSG00000177000	ENST00000376585	11785732	11805413				8094
1	ENSG00000177000	ENST00000641747	11789766	11806455				3227
1	ENSG00000177000	ENST00000641805	11790041	11803677				2945
1	ENSG00000177000	ENST00000423400	11790068	11803526	NM_001410750			2715
1	ENSG00000177000	ENST00000641446	11790068	11806002				2820
1	ENSG00000177000	ENST00000641407	11790349	11803383		XM_047421179		2387
1	ENSG00000177000	ENST00000641407	11790349	11803383		XM_047421174		2387
1	ENSG00000177000	ENST00000641407	11790349	11803383		XM_011541496		2387
1	ENSG00000177000	ENST00000641759	11790566	11803526				2454
1	ENSG00000177000	ENST00000641820	11790642	11796545				1569
1	ENSG00000177000	ENST00000641721	11795101	11803448				891
1	ENSG00000177000	ENST00000376486	11796297	11806063				875
1	ENSG00000177000	ENST00000641909	11799792	11803526				2254
1	ENSG00000177000	ENST00000641437	11799857	11806006				1911
1	ENSG00000177000	ENST00000418034	11801205	11805936				1034
1	ENSG00000177000	ENST00000431243	11801318	11805413				1116
1	ENSG00000177000	ENST00000642002	11801333	11806103				549
1	ENSG00000177000	ENST00000413656	11803028	11805294				398
1	ENSG00000177000	ENST00000911084	11786603	11805961		XM_047421181		5985
1	ENSG00000177000	ENST00000911084	11786603	11805961		XM_047421180		5985
1	ENSG00000177000	ENST00000911085	11790022	11806368				3661
1	ENSG00000177000	ENST00000911086	11789874	11803570		XM_054336703		2803
1	ENSG00000177000	ENST00000911087	11790469	11803537				2178
1	ENSG00000177000	ENST00000970341	11789875	11803556				3066
1	ENSG00000177000	ENST00000970342	11790025	11803541				2797
1	ENSG00000177000	ENST00000970343	11790029	11803525				2570
5	ENSG00000228716	ENST00000439211	80626226	80654983	NM_000791			3919	NM_000791.4
5	ENSG00000228716	ENST00000505337	80628017	80654674				1719
5	ENSG00000228716	ENST00000511032	80628124	80654552	NM_001290357			1474
5	ENSG00000228716	ENST00000504396	80628223	80654558	NM_001290354			1447
5	ENSG00000228716	ENST00000513048	80628538	80654547				994
5	ENSG00000228716	ENST00000508282	80629064	80654101				545
5	ENSG00000228716	ENST00000513314	80648941	80654035				582
5	ENSG00000228716	ENST00000935289	80626226	80654547				3483
11	ENSG00000110195	ENST00000312293	72189558	72196323	NM_016725			1130
11	ENSG00000110195	ENST00000393681	72189668	72196298	NM_016724			1061
11	ENSG00000110195	ENST00000675784	72189915	72196323	NM_000802			945
11	ENSG00000110195	ENST00000393679	72190214	72196298				1331
11	ENSG00000110195	ENST00000393676	72192140	72196299	NM_016729			930	NM_016729.3
11	ENSG00000110195	ENST00000893310	72189793	72196299				1097
11	ENSG00000110195	ENST00000893311	72189816	72196297				1084
17	ENSG00000076351	ENST00000612814	28394642	28406212	NM_080669	XM_017024110		6492	NM_080669.6
17	ENSG00000076351	ENST00000618626	28395676	28406201	NM_001242366	XM_047435279		5363
17	ENSG00000076351	ENST00000618626	28395676	28406201	NM_001242366	XM_005277786		5363
17	ENSG00000076351	ENST00000582735	28399346	28404821				574
17	ENSG00000076351	ENST00000619923	28400518	28401045				528
17	ENSG00000076351	ENST00000578217	28404240	28405747				596
17	ENSG00000076351	ENST00000582590	28404316	28406168				1435
17	ENSG00000076351	ENST00000584995	28404724	28406630		XM_047435280		1030
17	ENSG00000076351	ENST00000584426	28405048	28406599				564
17	ENSG00000076351	ENST00000581516	28405377	28407197				844
17	ENSG00000076351	ENST00000884019	28399018	28406212				1936
17	ENSG00000076351	ENST00000942091	28398667	28406147				2138
